"id","url","title","foto"
"1013","https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/bramborovy-salat-s-avokadovou-majonezou-1013/","Vánoční salát s avokádovou majonézou","https://fitrecepty.info/media/a6/e0/a6e04b2e-7129-4f0e-9a0a-aa167d0474b4.jpg.890x618_q85_crop.jpg"
"993","https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/bulgurove-rizoto-s-houbami-993/","Bulgurové rizoto s houbami ","https://fitrecepty.info/media/04/b3/04b3fc40-55d8-440d-bd0f-36437440b059.jpg.890x618_q85_crop.jpg"
"68","https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/avokadovy-pudink-68/","Avokádový pudink ","https://fitrecepty.info/media/83/e3/83e3394d-1979-435a-a05b-c95c6b23333d.jpg.890x618_q85_crop.jpg"
"1102","https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/bounty-kulicky-1102/","Bounty kuličky","https://fitrecepty.info/media/18/e4/18e40b23-6dda-40bf-b98c-aa61a49edccc.jpg.890x618_q85_crop.jpg"
"186","https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/arasidove-kureci-rizky-s-bramborovou-kasi-186/","Arašídové kuřecí řízky s bramborovou kaší","https://fitrecepty.info/media/10/b3/10b36d1c-2dc0-401f-b85b-ccecddaf6290.jpg.890x618_q85_crop.jpg"
"1038","https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/brokolicova-polevka-1038/","Brokolicová polévka","https://fitrecepty.info/media/c3/8f/c38f1e65-8699-46db-9a0b-fe7d218ba27a.jpg.890x618_q85_crop.jpg"
"1104","https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/bezlepkovy-mandlovy-kolac-1104/","Bezlepkový mandlový koláč ","https://fitrecepty.info/media/a1/f8/a1f8a676-e7d8-4d80-a001-beef84e025b3.jpg.890x618_q85_crop.jpg"
"613","https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/burgery-s-quinoou-a-fazolemi-613/","Burgery s quinoou a fazolemi","https://fitrecepty.info/media/9e/f3/9ef3b0ed-8b64-40e0-86e6-e05dfbec5277.jpg.890x618_q85_crop.jpg"
"675","https://fitrecepty.info/recepty/podle-kategorie/polevky/fazolova-polevka-675/","Fazolová polévka","https://fitrecepty.info/media/fd/3f/fd3f8f54-c678-4ea1-a398-84d60430b0c7.jpg.890x618_q85_crop.jpg"
"915","https://fitrecepty.info/recepty/podle-kategorie/salatyprilohy/grilovane-cukety-915/","Grilované cukety","https://fitrecepty.info/media/78/99/789928d9-b06a-47de-a4b7-b0993965d623.jpg.890x618_q85_crop.jpg"
"50","https://fitrecepty.info/recepty/podle-kategorie/salatyprilohy/hranolky-ze-sladkych-brambor-50/","Hranolky ze sladkých brambor","https://fitrecepty.info/media/f3/64/f36411f8-a205-4461-a357-b2065fc40979.jpg.890x618_q85_crop.jpg"
"1114","https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/jarni-salat-s-rapikatym-celerem-1114/","Jarní salát s řapíkatým celerem ","https://fitrecepty.info/media/f3/7f/f37f9d29-5983-4fd0-82c4-444c524a00a9.jpg.890x618_q85_crop.jpg"
"19","https://fitrecepty.info/recepty/podle-kategorie/napoje/bananovy-shake-19/","Banánový shake ","https://fitrecepty.info/media/8c/65/8c653637-f194-43c6-a75f-e04e66fd5513.jpg.890x618_q85_crop.jpg"
"15","https://fitrecepty.info/recepty/podle-kategorie/napoje/boruvkove-smoothie-s-kaderavkem-15/","Borůvkové smoothie s kadeřávkem","https://fitrecepty.info/media/b0/87/b087ee1d-d432-48c1-8468-a46970b88e9f.jpg.890x618_q85_crop.jpg"
"828","https://fitrecepty.info/recepty/podle-kategorie/napoje/brokolicovy-milkshake-828/","Brokolicový milkshake ","https://fitrecepty.info/media/f8/97/f8972d8d-df8f-4265-98d2-adf9f2b21f95.jpg.890x618_q85_crop.jpg"
"657","https://fitrecepty.info/recepty/podle-kategorie/napoje/brusinkove-smoothie-s-goji-657/","Brusinkové smoothie s goji","https://fitrecepty.info/media/9b/8b/9b8b7869-5a04-4829-b26e-6afc97c535bd.jpg.890x618_q85_crop.jpg"
"894","https://fitrecepty.info/recepty/podle-kategorie/napoje/cibulovy-sirup-na-bolest-v-krku-894/","Cibulový sirup na bolest v krku","https://fitrecepty.info/media/18/d9/18d91276-e57f-4b16-b6b1-7251572f8bc9.jpg.890x618_q85_crop.jpg"
