id,url,title,foto,ingredience,nazev_ingredience
293,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/kolac-z-ovesnych-vlocek-s-hroznovym-vinem-293/,Koláč z ovesných vloček s hroznovým vínem,https://fitrecepty.info/media/6c/10/6c100cdb-8a86-418d-862a-288f938feef1.jpg.890x618_q85_crop.jpg,150 g bílého jogurtu,Bílý jogurt
663,https://fitrecepty.info/recepty/podle-kategorie/napoje/malinove-smoothie-s-jogurtem-663/,Malinové smoothie s jogurtem,https://fitrecepty.info/media/4c/a3/4ca3c841-336c-43a5-bf14-baf165aedf99.jpg.890x618_q85_crop.jpg,100 g nízkotučného bílého jogurtu,Bílý jogurt
293,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/kolac-z-ovesnych-vlocek-s-hroznovym-vinem-293/,Koláč z ovesných vloček s hroznovým vínem,https://fitrecepty.info/media/6c/10/6c100cdb-8a86-418d-862a-288f938feef1.jpg.890x618_q85_crop.jpg,3 lžíce medu (případně jiné sladidlo - stévie ap.),Stévie
953,https://fitrecepty.info/recepty/podle-kategorie/vanocni/mandlova-kolecka-953/,Mandlová kolečka,https://fitrecepty.info/media/f8/6e/f86e3dd7-b880-44fc-8289-6a598297d443.jpg.890x618_q85_crop.jpg,1 lžička skořice,Skořice
770,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/mini-cheesecaky-770/,Raw borůvkové řezy,https://fitrecepty.info/media/41/70/417083af-4637-4222-9d00-c2bf49095460.jpg.890x618_q85_crop.jpg,30 g syrovátkového proteinu,Protein
367,https://fitrecepty.info/recepty/podle-kategorie/vanocni/mrkvove-cukrovi-367/,Mrkvové cukroví,https://fitrecepty.info/media/d9/2c/d92c7a07-d71a-46d0-b2a5-4f3ec20055b9.jpg.890x618_q85_crop.jpg,50 g sušeného sójového mléka na obalení,Sójové mléko
930,https://fitrecepty.info/recepty/podle-kategorie/vanocni/nepecene-bananove-kulicky-930/,Nepečené banánové kuličky ,https://fitrecepty.info/media/c8/b9/c8b9fcc8-70dd-4760-a3a8-92ed406208aa.jpg.890x618_q85_crop.jpg,50 g strouhaného kokosu,kokos strouhaný
299,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/ovocny-kolac-299/,Ovocný koláč,https://fitrecepty.info/media/c8/b4/c8b440d6-16dc-4695-b81e-d2f80950e1bb.jpg.890x618_q85_crop.jpg,50 g ovesné mouky (roxmixované ovesné vločky),Ovesné vločky
905,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/panna-cotta-z-kokosoveho-mleka-905/,Panna cotta z kokosového mléka,https://fitrecepty.info/media/ae/45/ae45dac7-95c7-4b24-8f91-5d91c473e6de.jpg.890x618_q85_crop.jpg,100 g jahod (lze nahradit jakýmkoliv jiným ovocem),Jahody
986,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/pecena-dynova-seminka-se-skorici-986/,Pečená dýňová semínka se skořicí ,https://fitrecepty.info/media/84/62/84626bc5-c22f-48e1-a9e9-c62578112d99.jpg.890x618_q85_crop.jpg,1 lžička mleté skořice,Skořice
1001,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/pomerancovy-kolac-ze-spaldove-mouky-1001/,Pomerančový koláč ze špaldové mouky ,https://fitrecepty.info/media/a5/f6/a5f6df39-cf18-41a0-9a7e-1cb01ef681ef.jpg.890x618_q85_crop.jpg,1 vejce,vejce
1125,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/rebarborovy-kolac-s-drobenkou-1125/,Rebarborový koláč s drobenkou ,https://fitrecepty.info/media/d7/ae/d7aee5d7-5acf-4e59-af28-5b34760e41da.jpg.890x618_q85_crop.jpg,2 lžičky prášku do pečiva,Prášek do pečiva
1125,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/rebarborovy-kolac-s-drobenkou-1125/,Rebarborový koláč s drobenkou ,https://fitrecepty.info/media/d7/ae/d7aee5d7-5acf-4e59-af28-5b34760e41da.jpg.890x618_q85_crop.jpg,140 g tvarohu,Tvaroh
1125,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/rebarborovy-kolac-s-drobenkou-1125/,Rebarborový koláč s drobenkou ,https://fitrecepty.info/media/d7/ae/d7aee5d7-5acf-4e59-af28-5b34760e41da.jpg.890x618_q85_crop.jpg,70 g plátkových mandlí,Mandle
356,https://fitrecepty.info/recepty/podle-kategorie/vanocni/ryzove-kokosky-356/,Rýžové kokosky,https://fitrecepty.info/media/9e/bd/9ebd296c-2ef1-46a9-a5c6-3c6697abd8bf.jpg.890x618_q85_crop.jpg,2 bílky,Vaječný bílek
255,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/skoricove-orisky-s-medem-255/,Skořicové oříšky s medem,https://fitrecepty.info/media/9d/71/9d712424-2845-4e73-b5db-fc39a02b9bb4.jpg.890x618_q85_crop.jpg,1 lžička skořice,Skořice
1010,https://fitrecepty.info/recepty/podle-kategorie/vanocni/spaldova-linecka-kolecka-1010/,Špaldová linecká kolečka,https://fitrecepty.info/media/ea/82/ea8224e8-3524-49fa-9954-5ed0f1d2a5ef.jpg.890x618_q85_crop.jpg,150 g celozrnné špaldové mouky,Špaldová mouka
1010,https://fitrecepty.info/recepty/podle-kategorie/vanocni/spaldova-linecka-kolecka-1010/,Špaldová linecká kolečka,https://fitrecepty.info/media/ea/82/ea8224e8-3524-49fa-9954-5ed0f1d2a5ef.jpg.890x618_q85_crop.jpg,100 g hladké špaldové mouky (+50 g na pomoučení válu),Špaldová mouka
298,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/zdrava-kakaova-bomba-298/,Zdravá kakaová bomba,https://fitrecepty.info/media/66/f4/66f4cd27-68a6-4c91-9894-c103980d2d45.jpg.890x618_q85_crop.jpg,2 lžíce holandského kakaa (14g) (lze použít i jiný druh),Holandské kakao
298,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/zdrava-kakaova-bomba-298/,Zdravá kakaová bomba,https://fitrecepty.info/media/66/f4/66f4cd27-68a6-4c91-9894-c103980d2d45.jpg.890x618_q85_crop.jpg,pár kapek stévie,Stévie
298,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/zdrava-kakaova-bomba-298/,Zdravá kakaová bomba,https://fitrecepty.info/media/66/f4/66f4cd27-68a6-4c91-9894-c103980d2d45.jpg.890x618_q85_crop.jpg,2 mrkve (200g),Mrkev
380,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/zdravy-tvarohovy-kolac-380/,Zdravý tvarohový koláč ,https://fitrecepty.info/media/00/23/00238366-46c6-4cc7-9f54-ae2c46574a9a.jpg.890x618_q85_crop.jpg,4 vejce,vejce
380,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/zdravy-tvarohovy-kolac-380/,Zdravý tvarohový koláč ,https://fitrecepty.info/media/00/23/00238366-46c6-4cc7-9f54-ae2c46574a9a.jpg.890x618_q85_crop.jpg,1 bio vanilkový puding,Vanilkový puding
624,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnna-pizza-s-cervenou-repou-624/,Celozrnná pizza s červenou řepou ,https://fitrecepty.info/media/10/d6/10d69db0-5ac5-427c-831c-bfea53cd507c.jpg.890x618_q85_crop.jpg,1 lžička sušeného oregana,Oregano
624,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnna-pizza-s-cervenou-repou-624/,Celozrnná pizza s červenou řepou ,https://fitrecepty.info/media/10/d6/10d69db0-5ac5-427c-831c-bfea53cd507c.jpg.890x618_q85_crop.jpg,1 středně velká cibule,Cibule
624,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnna-pizza-s-cervenou-repou-624/,Celozrnná pizza s červenou řepou ,https://fitrecepty.info/media/10/d6/10d69db0-5ac5-427c-831c-bfea53cd507c.jpg.890x618_q85_crop.jpg,400 g předvařené řepy,Předvařená řepa
250,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnne-gnocchi-s-houbami-250/,Celozrnné gnocchi s houbami,https://fitrecepty.info/media/0a/2a/0a2a74e9-b523-4677-890b-b8404ffc760d.jpg.890x618_q85_crop.jpg,1 lžička řepkového oleje,Řepkový olej
250,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnne-gnocchi-s-houbami-250/,Celozrnné gnocchi s houbami,https://fitrecepty.info/media/0a/2a/0a2a74e9-b523-4677-890b-b8404ffc760d.jpg.890x618_q85_crop.jpg,2 lžičky sušeného tymiánu,Tymián
250,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnne-gnocchi-s-houbami-250/,Celozrnné gnocchi s houbami,https://fitrecepty.info/media/0a/2a/0a2a74e9-b523-4677-890b-b8404ffc760d.jpg.890x618_q85_crop.jpg,1 lžička soli,Sůl
784,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnne-ravioli-784/,Celozrnné ravioli,https://fitrecepty.info/media/f3/9b/f39b2f12-6970-4167-8f1f-3ea17d624be3.jpg.890x618_q85_crop.jpg,200 g nízkotučného tvarohu,Tvaroh
236,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/celozrnne-testoviny-s-avokadovou-omackou-236/,Celozrnné těstoviny s avokádovou omáčkou,https://fitrecepty.info/media/4b/b6/4bb6cbd4-3f27-4012-b836-6ea60c999a5b.jpg.890x618_q85_crop.jpg,200 g rozmačkaného avokáda,avokádo
678,https://fitrecepty.info/recepty/podle-kategorie/obedy-a-vecere/cizrnove-karbanatky-s-tunakem-678/,Cizrnové karbanátky s tuňákem,https://fitrecepty.info/media/49/76/497651f5-949a-4ac2-9f62-e202a3912be9.jpg.890x618_q85_crop.jpg,2 vejce,vejce
